"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.0.2.15","149.154.167.99","TLSv1.2","237","Application Data"
"3","0.071339","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"5","0.802194","10.0.2.15","35.186.224.40","TLSv1.2","97","Application Data"
"7","0.876830","35.186.224.40","10.0.2.15","TLSv1.2","94","Application Data"
"11","1.840569","10.0.2.15","35.186.224.25","TLSv1.2","349","Application Data"
"12","1.840653","10.0.2.15","35.186.224.25","TLSv1.2","93","Application Data"
"13","1.840665","10.0.2.15","35.186.224.25","TLSv1.2","354","Application Data"
"14","1.840734","10.0.2.15","35.186.224.25","TLSv1.2","316","Application Data"
"20","1.862321","35.186.224.25","10.0.2.15","TLSv1.2","93","Application Data"
"26","1.933621","35.186.224.25","10.0.2.15","TLSv1.2","126","Application Data"
"28","1.933726","35.186.224.25","10.0.2.15","TLSv1.2","567","Application Data, Application Data, Application Data"
"33","1.935427","10.0.2.15","35.186.224.25","TLSv1.2","89","Application Data"
"34","1.935440","10.0.2.15","35.186.224.25","TLSv1.2","93","Application Data"
"40","1.963306","35.186.224.25","10.0.2.15","TLSv1.2","126","Application Data"
"41","1.963803","35.186.224.25","10.0.2.15","TLSv1.2","708","Application Data, Application Data, Application Data"
"43","1.965477","10.0.2.15","35.186.224.25","TLSv1.2","93","Application Data"
"50","1.996098","35.186.224.25","10.0.2.15","TLSv1.2","130","Application Data"
"51","1.996393","35.186.224.25","10.0.2.15","TLSv1.2","1466","Application Data"
"53","1.997183","35.186.224.25","10.0.2.15","TLSv1.2","998","Application Data"
"54","1.997749","35.186.224.25","10.0.2.15","TLSv1.2","333","Application Data"
"56","2.815865","10.0.2.15","213.57.24.219","TLSv1.2","849","Application Data"
"58","2.830415","213.57.24.219","10.0.2.15","TLSv1.2","2095","Application Data"
"70","2.835550","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"78","2.839791","213.57.24.219","10.0.2.15","TLSv1.2","5894","Application Data [TCP segment of a reassembled PDU]"
"80","2.839881","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"88","2.843750","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"100","2.846634","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"106","2.847654","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"111","2.850883","213.57.24.219","10.0.2.15","TLSv1.2","2974","Application Data [TCP segment of a reassembled PDU]"
"124","2.857216","213.57.24.219","10.0.2.15","TLSv1.2","13194","Application Data, Application Data"
"132","2.859683","213.57.24.219","10.0.2.15","TLSv1.2","5894","Application Data [TCP segment of a reassembled PDU]"
"136","2.865132","213.57.24.219","10.0.2.15","TLSv1.2","7354","Application Data [TCP segment of a reassembled PDU]"
"137","2.865132","213.57.24.219","10.0.2.15","TLSv1.2","9365","Application Data"
"145","3.089005","10.0.2.15","149.154.167.99","TLSv1.2","237","Application Data"
"147","3.160358","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"149","3.217112","10.0.2.15","149.154.167.99","TLSv1.2","509","Application Data"
"151","3.379863","149.154.167.99","10.0.2.15","TLSv1.2","217","Application Data"
"195","3.856608","35.186.224.40","10.0.2.15","TLSv1.2","1466","Application Data"
"197","3.856968","35.186.224.40","10.0.2.15","TLSv1.2","2974","Application Data, Application Data"
"199","3.857199","35.186.224.40","10.0.2.15","TLSv1.2","722","Application Data"
"201","3.859768","35.186.224.40","10.0.2.15","TLSv1.2","1466","Application Data"
"203","3.860556","35.186.224.40","10.0.2.15","TLSv1.2","3223","Application Data, Application Data, Application Data"
"276","4.048499","10.0.2.15","213.57.24.219","TLSv1.2","794","Application Data"
"285","4.061466","35.186.224.40","10.0.2.15","TLSv1.2","1466","Application Data"
