"No.","Time","Source","Destination","Protocol","Length","Info"
"14","0.561773","10.0.2.15","149.154.167.99","TLSv1.2","237","Application Data"
"15","0.562114","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=1 Ack=184 Win=65535 Len=0"
"16","0.645506","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"17","0.645539","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=184 Ack=114 Win=65535 Len=0"
"20","2.683572","10.0.2.15","149.154.167.99","TLSv1.2","221","Application Data"
"21","2.684112","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=114 Ack=351 Win=65535 Len=0"
"22","2.843804","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"23","2.843836","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=351 Ack=227 Win=65535 Len=0"
"24","2.905290","149.154.167.91","10.0.2.15","SSL","170","Continuation Data"
"25","2.905327","10.0.2.15","149.154.167.91","TCP","54","55888  >  443 [ACK] Seq=1 Ack=117 Win=356 Len=0"
"28","3.650288","10.0.2.15","149.154.167.99","TLSv1.2","237","Application Data"
"29","3.650674","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=227 Ack=534 Win=65535 Len=0"
"30","3.758339","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"31","3.758372","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=534 Ack=340 Win=65535 Len=0"
"34","6.764010","10.0.2.15","149.154.167.99","TLSv1.2","237","Application Data"
"35","6.764315","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=340 Ack=717 Win=65535 Len=0"
"36","6.842963","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"37","6.843039","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=717 Ack=453 Win=65535 Len=0"
"90","7.912585","149.154.167.91","10.0.2.15","TCP","60","443  >  59140 [ACK] Seq=1 Ack=1 Win=65535 Len=1 [TCP segment of a reassembled PDU]"
"91","7.912631","10.0.2.15","149.154.167.91","TCP","54","[TCP ZeroWindow] 59140  >  443 [ACK] Seq=1 Ack=1 Win=0 Len=0"
"101","9.816817","10.0.2.15","149.154.167.99","TLSv1.2","269","Application Data"
"102","9.817207","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=453 Ack=932 Win=65535 Len=0"
"103","9.849775","10.0.2.15","149.154.167.99","TLSv1.2","171","Application Data"
"104","9.850213","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=453 Ack=1049 Win=65535 Len=0"
"105","9.930441","149.154.167.99","10.0.2.15","TLSv1.2","233","Application Data"
"106","9.930474","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=1049 Ack=632 Win=65535 Len=0"
"107","9.942552","149.154.167.99","10.0.2.15","TLSv1.2","249","Application Data"
"108","9.942582","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=1049 Ack=827 Win=65535 Len=0"
"111","10.663272","34.117.65.55","10.0.2.15","TLSv1.2","78","Application Data"
"112","10.663864","10.0.2.15","34.117.65.55","TLSv1.2","82","Application Data"
"113","10.664271","34.117.65.55","10.0.2.15","TCP","60","443  >  35990 [ACK] Seq=25 Ack=29 Win=65535 Len=0"
"116","12.482549","149.154.167.91","10.0.2.15","SSL","378","Continuation Data"
"117","12.482584","10.0.2.15","149.154.167.91","TCP","54","55888  >  443 [ACK] Seq=1 Ack=441 Win=32 Len=0"
"118","12.484163","149.154.167.99","10.0.2.15","TLSv1.2","393","Application Data"
"119","12.484198","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=1049 Ack=1166 Win=65535 Len=0"
"120","12.519753","10.0.2.15","149.154.167.99","TLSv1.2","301","Application Data"
"121","12.520099","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=1166 Ack=1296 Win=65535 Len=0"
"122","12.633927","149.154.167.99","10.0.2.15","TLSv1.2","489","Application Data"
"123","12.680570","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=1296 Ack=1601 Win=65535 Len=0"
"124","12.797216","34.117.65.55","10.0.2.15","TLSv1.2","928","Application Data"
"125","12.824633","10.0.2.15","34.117.65.55","TLSv1.2","398","Application Data"
"126","12.825002","34.117.65.55","10.0.2.15","TCP","60","443  >  35990 [ACK] Seq=899 Ack=373 Win=65535 Len=0"
"130","12.840109","10.0.2.15","149.154.167.99","TCP","74","50546  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4093282432 TSecr=0 WS=128"
