"No.","Time","Source","Destination","Protocol","Length","Info"
"3","1.418386","10.0.2.15","149.154.167.99","TLSv1.2","221","Application Data"
"4","1.418785","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=1 Ack=168 Win=65535 Len=0"
"5","1.523770","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"6","1.523798","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=168 Ack=114 Win=65535 Len=0"
"11","2.564240","10.0.2.15","149.154.167.99","TLSv1.2","237","Application Data"
"12","2.564627","149.154.167.99","10.0.2.15","TCP","60","443  >  52862 [ACK] Seq=114 Ack=351 Win=65535 Len=0"
"13","2.647373","149.154.167.99","10.0.2.15","TLSv1.2","167","Application Data"
"14","2.647400","10.0.2.15","149.154.167.99","TCP","54","52862  >  443 [ACK] Seq=351 Ack=227 Win=65535 Len=0"
"63","4.356231","10.0.2.15","149.154.167.99","TLSv1.2","82","Application Data"
"64","4.356512","149.154.167.99","10.0.2.15","TCP","60","443  >  58608 [ACK] Seq=1 Ack=29 Win=65535 Len=0"
"68","4.426635","149.154.167.99","10.0.2.15","TLSv1.2","92","Application Data"
"69","4.426647","10.0.2.15","149.154.167.99","TCP","54","58608  >  443 [ACK] Seq=29 Ack=39 Win=62780 Len=0"
"70","4.427812","149.154.167.99","10.0.2.15","TLSv1.2","78","Application Data"
"71","4.427829","10.0.2.15","149.154.167.99","TCP","54","58608  >  443 [ACK] Seq=29 Ack=63 Win=62780 Len=0"
"72","4.427813","149.154.167.99","10.0.2.15","TCP","60","443  >  58608 [FIN, ACK] Seq=63 Ack=29 Win=65535 Len=0"
"73","4.427996","10.0.2.15","149.154.167.99","TLSv1.2","78","Application Data"
"74","4.428013","10.0.2.15","149.154.167.99","TCP","54","58608  >  443 [FIN, ACK] Seq=53 Ack=64 Win=62780 Len=0"
"75","4.428179","149.154.167.99","10.0.2.15","TCP","60","443  >  58608 [ACK] Seq=64 Ack=53 Win=65535 Len=0"
