"No.","Time","Source","Destination","Protocol","Length","Info"
"2","0.000045","10.0.2.15","104.18.0.32","TCP","54","38680  >  443 [ACK] Seq=1 Ack=40 Win=65535 Len=0"
"3","0.000000","104.18.0.32","10.0.2.15","TCP","60","443  >  38680 [FIN, ACK] Seq=40 Ack=1 Win=65535 Len=0"
"4","0.000348","10.0.2.15","104.18.0.32","TCP","54","38680  >  443 [FIN, ACK] Seq=1 Ack=41 Win=65535 Len=0"
"5","0.000708","104.18.0.32","10.0.2.15","TCP","60","443  >  38680 [ACK] Seq=41 Ack=2 Win=65535 Len=0"
"37","0.856067","10.0.2.15","104.18.0.32","TCP","54","38694  >  443 [ACK] Seq=1 Ack=40 Win=62780 Len=0"
"38","0.856294","10.0.2.15","104.18.0.32","TCP","54","38694  >  443 [FIN, ACK] Seq=1 Ack=40 Win=62780 Len=0"
"39","0.856602","104.18.0.32","10.0.2.15","TCP","60","443  >  38694 [ACK] Seq=40 Ack=2 Win=65535 Len=0"
"40","0.856789","104.18.0.32","10.0.2.15","TCP","60","443  >  38694 [FIN, ACK] Seq=40 Ack=2 Win=65535 Len=0"
"41","0.856805","10.0.2.15","104.18.0.32","TCP","54","38694  >  443 [ACK] Seq=2 Ack=41 Win=62780 Len=0"
"43","0.980385","149.154.167.99","10.0.2.15","TCP","60","443  >  34208 [ACK] Seq=1 Ack=184 Win=65535 Len=0"
"45","1.051585","10.0.2.15","149.154.167.99","TCP","54","34208  >  443 [ACK] Seq=184 Ack=114 Win=65535 Len=0"
"46","1.193041","10.0.2.15","23.59.70.11","TCP","54","43538  >  443 [ACK] Seq=1 Ack=1 Win=63936 Len=0"
"47","1.193532","23.59.70.11","10.0.2.15","TCP","60","[TCP ACKed unseen segment] 443  >  43538 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"94","2.080286","10.0.2.15","35.186.224.40","TCP","54","49032  >  443 [ACK] Seq=1 Ack=1413 Win=65535 Len=0"
"96","2.083175","10.0.2.15","35.186.224.40","TCP","54","49032  >  443 [ACK] Seq=1 Ack=2825 Win=65535 Len=0"
"98","2.083321","10.0.2.15","35.186.224.40","TCP","54","49032  >  443 [ACK] Seq=1 Ack=5001 Win=65535 Len=0"
"100","2.083852","10.0.2.15","35.186.224.40","TCP","54","49032  >  443 [ACK] Seq=1 Ack=6413 Win=65535 Len=0"
"102","2.084567","10.0.2.15","35.186.224.40","TCP","54","49032  >  443 [ACK] Seq=1 Ack=7825 Win=65535 Len=0"
"104","2.085129","10.0.2.15","35.186.224.40","TCP","54","49032  >  443 [ACK] Seq=1 Ack=12061 Win=65535 Len=0"
"106","2.085806","10.0.2.15","35.186.224.40","TCP","54","49032  >  443 [ACK] Seq=1 Ack=12501 Win=65535 Len=0"
"108","2.101856","10.0.2.15","35.186.224.40","TCP","54","49032  >  443 [ACK] Seq=1 Ack=13913 Win=65535 Len=0"
"110","2.103586","10.0.2.15","35.186.224.40","TCP","54","49032  >  443 [ACK] Seq=1 Ack=18149 Win=65535 Len=0"
"113","2.106778","10.0.2.15","35.186.224.40","TCP","54","49032  >  443 [ACK] Seq=1 Ack=26621 Win=65535 Len=0"
"115","2.106794","10.0.2.15","35.186.224.40","TCP","54","49032  >  443 [ACK] Seq=1 Ack=32269 Win=65535 Len=0"
"117","2.107377","10.0.2.15","35.186.224.40","TCP","54","49032  >  443 [ACK] Seq=1 Ack=33681 Win=65535 Len=0"
"119","2.109065","10.0.2.15","35.186.224.40","TCP","54","49032  >  443 [ACK] Seq=1 Ack=36505 Win=65535 Len=0"
"121","2.109685","10.0.2.15","35.186.224.40","TCP","54","49032  >  443 [ACK] Seq=1 Ack=40137 Win=65535 Len=0"
"266","3.241893","10.0.2.15","35.208.249.213","TCP","54","43198  >  443 [ACK] Seq=1 Ack=1 Win=62780 Len=0"
"267","3.242299","35.208.249.213","10.0.2.15","TCP","60","[TCP ACKed unseen segment] 443  >  43198 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"275","4.057973","149.154.167.99","10.0.2.15","TCP","60","443  >  34208 [ACK] Seq=114 Ack=367 Win=65535 Len=0"
"277","4.132545","10.0.2.15","149.154.167.99","TCP","54","34208  >  443 [ACK] Seq=367 Ack=227 Win=65535 Len=0"
"279","4.555253","10.0.2.15","146.75.121.108","TCP","54","44366  >  443 [FIN, ACK] Seq=1 Ack=1 Win=62780 Len=0"
"280","4.555325","10.0.2.15","213.57.23.147","TCP","54","40936  >  443 [FIN, ACK] Seq=1 Ack=1 Win=62780 Len=0"
"281","4.555355","10.0.2.15","213.57.24.147","TCP","54","37956  >  443 [FIN, ACK] Seq=1 Ack=1 Win=62780 Len=0"
"282","4.555380","10.0.2.15","173.222.107.27","TCP","54","58080  >  443 [FIN, ACK] Seq=1 Ack=1 Win=62780 Len=0"
"283","4.555429","10.0.2.15","173.222.107.27","TCP","54","58086  >  443 [FIN, ACK] Seq=1 Ack=1 Win=24816 Len=0"
"284","4.555448","10.0.2.15","173.222.107.27","TCP","54","36042  >  443 [FIN, ACK] Seq=1 Ack=1 Win=62780 Len=0"
"285","4.555490","10.0.2.15","173.222.107.27","TCP","54","36046  >  443 [FIN, ACK] Seq=1 Ack=1 Win=65535 Len=0"
"286","4.555542","10.0.2.15","23.59.68.45","TCP","54","46236  >  443 [FIN, ACK] Seq=1 Ack=1 Win=62780 Len=0"
"287","4.555582","10.0.2.15","23.59.70.11","TCP","54","[TCP Previous segment not captured] 43538  >  443 [FIN, ACK] Seq=2 Ack=1 Win=63936 Len=0"
"288","4.555706","10.0.2.15","104.26.9.169","TCP","54","35498  >  443 [RST, ACK] Seq=1 Ack=1 Win=62780 Len=0"
"290","4.555751","146.75.121.108","10.0.2.15","TCP","60","443  >  44366 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"291","4.555785","10.0.2.15","104.26.9.169","TCP","54","35506  >  443 [RST, ACK] Seq=1 Ack=1 Win=62780 Len=0"
"292","4.555819","10.0.2.15","23.59.68.64","TCP","54","35070  >  443 [FIN, ACK] Seq=1 Ack=1 Win=62780 Len=0"
"293","4.555864","213.57.23.147","10.0.2.15","TCP","60","443  >  40936 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"294","4.555864","213.57.24.147","10.0.2.15","TCP","60","443  >  37956 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"295","4.555864","173.222.107.27","10.0.2.15","TCP","60","443  >  58080 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"296","4.555864","173.222.107.27","10.0.2.15","TCP","60","443  >  58086 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"297","4.555864","173.222.107.27","10.0.2.15","TCP","60","443  >  36042 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"298","4.555907","10.0.2.15","23.59.68.64","TCP","54","35084  >  443 [FIN, ACK] Seq=1 Ack=1 Win=62780 Len=0"
"299","4.555946","173.222.107.27","10.0.2.15","TCP","60","443  >  36046 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"300","4.555946","23.59.68.45","10.0.2.15","TCP","60","443  >  46236 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"301","4.555946","23.59.70.11","10.0.2.15","TCP","60","[TCP ACKed unseen segment] 443  >  43538 [ACK] Seq=1 Ack=3 Win=65535 Len=0"
"302","4.555983","10.0.2.15","23.59.68.64","TCP","54","50734  >  443 [FIN, ACK] Seq=1 Ack=1 Win=62780 Len=0"
"303","4.556057","10.0.2.15","104.106.124.97","TCP","54","39038  >  443 [FIN, ACK] Seq=1 Ack=1 Win=62780 Len=0"
"304","4.556093","23.59.68.64","10.0.2.15","TCP","60","443  >  35070 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"305","4.556093","23.59.68.64","10.0.2.15","TCP","60","443  >  35084 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"306","4.556093","23.59.68.64","10.0.2.15","TCP","60","443  >  50734 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"307","4.556150","10.0.2.15","104.106.124.97","TCP","54","45252  >  443 [FIN, ACK] Seq=1 Ack=1 Win=62780 Len=0"
"308","4.556217","10.0.2.15","104.106.124.97","TCP","54","45262  >  443 [FIN, ACK] Seq=1 Ack=1 Win=63970 Len=0"
"309","4.556371","104.106.124.97","10.0.2.15","TCP","60","443  >  39038 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"310","4.556371","104.106.124.97","10.0.2.15","TCP","60","443  >  45252 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"311","4.556371","104.106.124.97","10.0.2.15","TCP","60","443  >  45262 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"317","4.571767","10.0.2.15","213.57.23.147","TCP","54","40936  >  443 [RST] Seq=2 Win=0 Len=0"
"318","4.571734","213.57.23.147","10.0.2.15","TCP","60","443  >  40936 [FIN, ACK] Seq=25 Ack=2 Win=65535 Len=0"
"319","4.571788","10.0.2.15","213.57.23.147","TCP","54","40936  >  443 [RST] Seq=2 Win=0 Len=0"
"320","4.572042","213.57.23.147","10.0.2.15","TCP","60","443  >  40936 [RST, ACK] Seq=4081906394 Ack=2 Win=0 Len=0"
"322","4.579345","10.0.2.15","213.57.24.147","TCP","54","37956  >  443 [RST] Seq=2 Win=0 Len=0"
"326","4.591395","10.0.2.15","213.57.24.219","TCP","74","60202  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2991010087 TSecr=0 WS=128"
"328","4.603780","213.57.24.219","10.0.2.15","TCP","60","443  >  60202 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"329","4.603832","10.0.2.15","213.57.24.219","TCP","54","60202  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"331","4.604414","213.57.24.219","10.0.2.15","TCP","60","443  >  60202 [ACK] Seq=1 Ack=652 Win=65535 Len=0"
"333","4.620032","10.0.2.15","173.222.107.27","TCP","54","58080  >  443 [RST] Seq=2 Win=0 Len=0"
"334","4.620236","173.222.107.27","10.0.2.15","TCP","60","443  >  58080 [FIN, ACK] Seq=25 Ack=2 Win=65535 Len=0"
"335","4.620244","10.0.2.15","173.222.107.27","TCP","54","58080  >  443 [RST] Seq=2 Win=0 Len=0"
"336","4.620536","173.222.107.27","10.0.2.15","TCP","60","443  >  58080 [RST, ACK] Seq=4076721665 Ack=2 Win=0 Len=0"
"338","4.621803","10.0.2.15","213.57.24.219","TCP","54","60202  >  443 [ACK] Seq=652 Ack=271 Win=63970 Len=0"
"340","4.621826","10.0.2.15","173.222.107.27","TCP","54","36042  >  443 [RST] Seq=2 Win=0 Len=0"
"341","4.621779","173.222.107.27","10.0.2.15","TCP","60","443  >  36042 [FIN, ACK] Seq=25 Ack=2 Win=65535 Len=0"
"342","4.621837","10.0.2.15","173.222.107.27","TCP","54","36042  >  443 [RST] Seq=2 Win=0 Len=0"
"343","4.622104","173.222.107.27","10.0.2.15","TCP","60","443  >  36042 [RST, ACK] Seq=4057376522 Ack=2 Win=0 Len=0"
"346","4.622465","213.57.24.219","10.0.2.15","TCP","60","443  >  60202 [ACK] Seq=271 Ack=732 Win=65535 Len=0"
"347","4.622465","213.57.24.219","10.0.2.15","TCP","60","443  >  60202 [ACK] Seq=271 Ack=1525 Win=65535 Len=0"
"349","4.624453","10.0.2.15","173.222.107.27","TCP","54","36046  >  443 [RST] Seq=2 Win=0 Len=0"
"351","4.627559","10.0.2.15","173.222.107.27","TCP","54","58086  >  443 [RST] Seq=2 Win=0 Len=0"
"353","4.632641","10.0.2.15","104.106.124.97","TCP","54","39038  >  443 [RST] Seq=2 Win=0 Len=0"
"354","4.632591","104.106.124.97","10.0.2.15","TCP","60","443  >  39038 [FIN, ACK] Seq=25 Ack=2 Win=65535 Len=0"
"355","4.632665","10.0.2.15","104.106.124.97","TCP","54","39038  >  443 [RST] Seq=2 Win=0 Len=0"
"356","4.632829","104.106.124.97","10.0.2.15","TCP","60","443  >  39038 [RST, ACK] Seq=4075825360 Ack=2 Win=0 Len=0"
"358","4.633025","10.0.2.15","146.75.121.108","TCP","54","44366  >  443 [RST] Seq=2 Win=0 Len=0"
"359","4.633012","146.75.121.108","10.0.2.15","TCP","60","443  >  44366 [FIN, ACK] Seq=32 Ack=2 Win=65535 Len=0"
"360","4.633040","10.0.2.15","146.75.121.108","TCP","54","44366  >  443 [RST] Seq=2 Win=0 Len=0"
"361","4.633320","146.75.121.108","10.0.2.15","TCP","60","443  >  44366 [RST, ACK] Seq=4075613622 Ack=2 Win=0 Len=0"
"363","4.633475","10.0.2.15","104.106.124.97","TCP","54","45252  >  443 [RST] Seq=2 Win=0 Len=0"
"364","4.633463","104.106.124.97","10.0.2.15","TCP","60","443  >  45252 [FIN, ACK] Seq=25 Ack=2 Win=65535 Len=0"
"365","4.633487","10.0.2.15","104.106.124.97","TCP","54","45252  >  443 [RST] Seq=2 Win=0 Len=0"
"366","4.633698","104.106.124.97","10.0.2.15","TCP","60","443  >  45252 [RST, ACK] Seq=4056683767 Ack=2 Win=0 Len=0"
"369","4.643746","10.0.2.15","213.57.24.219","TCP","54","60202  >  443 [ACK] Seq=1525 Ack=1153 Win=63970 Len=0"
"371","4.645533","10.0.2.15","104.106.124.97","TCP","54","45262  >  443 [RST] Seq=2 Win=0 Len=0"
"372","4.646608","213.57.24.219","10.0.2.15","TCP","2974","443  >  60202 [PSH, ACK] Seq=1153 Ack=1525 Win=65535 Len=2920 [TCP segment of a reassembled PDU]"
"373","4.646699","10.0.2.15","213.57.24.219","TCP","54","60202  >  443 [ACK] Seq=1525 Ack=4073 Win=63970 Len=0"
"375","4.646904","10.0.2.15","23.59.68.64","TCP","54","50734  >  443 [RST] Seq=2 Win=0 Len=0"
"376","4.647563","213.57.24.219","10.0.2.15","TCP","1514","443  >  60202 [PSH, ACK] Seq=4073 Ack=1525 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"377","4.653679","213.57.24.219","10.0.2.15","TCP","5894","443  >  60202 [PSH, ACK] Seq=5533 Ack=1525 Win=65535 Len=5840 [TCP segment of a reassembled PDU]"
"379","4.653716","10.0.2.15","23.59.68.64","TCP","54","35070  >  443 [RST] Seq=2 Win=0 Len=0"
"380","4.653800","23.59.68.64","10.0.2.15","TCP","60","443  >  35070 [FIN, ACK] Seq=32 Ack=2 Win=65535 Len=0"
"381","4.653806","10.0.2.15","23.59.68.64","TCP","54","35070  >  443 [RST] Seq=2 Win=0 Len=0"
"382","4.653966","23.59.68.64","10.0.2.15","TCP","60","443  >  35070 [RST, ACK] Seq=4073840885 Ack=2 Win=0 Len=0"
"383","4.654274","10.0.2.15","213.57.24.219","TCP","54","60202  >  443 [ACK] Seq=1525 Ack=11373 Win=63970 Len=0"
"385","4.654494","10.0.2.15","213.57.24.219","TCP","54","60202  >  443 [ACK] Seq=1525 Ack=20133 Win=63970 Len=0"
"386","4.654663","213.57.24.219","10.0.2.15","TCP","10274","443  >  60202 [ACK] Seq=20133 Ack=1525 Win=65535 Len=10220 [TCP segment of a reassembled PDU]"
"387","4.654888","10.0.2.15","213.57.24.219","TCP","54","60202  >  443 [ACK] Seq=1525 Ack=30353 Win=63970 Len=0"
"389","4.655047","10.0.2.15","213.57.24.219","TCP","54","60202  >  443 [ACK] Seq=1525 Ack=42033 Win=63970 Len=0"
"391","4.655146","10.0.2.15","23.59.68.64","TCP","54","35084  >  443 [RST] Seq=2 Win=0 Len=0"
"392","4.655135","23.59.68.64","10.0.2.15","TCP","60","443  >  35084 [FIN, ACK] Seq=32 Ack=2 Win=65535 Len=0"
"393","4.655158","10.0.2.15","23.59.68.64","TCP","54","35084  >  443 [RST] Seq=2 Win=0 Len=0"
"395","4.655166","10.0.2.15","23.59.70.11","TCP","54","43538  >  443 [RST] Seq=3 Win=0 Len=0"
"396","4.655349","213.57.24.219","10.0.2.15","TCP","13194","443  >  60202 [ACK] Seq=42033 Ack=1525 Win=65535 Len=13140 [TCP segment of a reassembled PDU]"
"397","4.655398","23.59.68.64","10.0.2.15","TCP","60","443  >  35084 [RST, ACK] Seq=4073772253 Ack=2 Win=0 Len=0"
"399","4.655544","10.0.2.15","23.59.68.45","TCP","54","46236  >  443 [RST] Seq=2 Win=0 Len=0"
"400","4.655535","23.59.68.45","10.0.2.15","TCP","60","443  >  46236 [FIN, ACK] Seq=25 Ack=2 Win=65535 Len=0"
"401","4.655553","10.0.2.15","23.59.68.45","TCP","54","46236  >  443 [RST] Seq=2 Win=0 Len=0"
"402","4.655646","10.0.2.15","213.57.24.219","TCP","54","60202  >  443 [ACK] Seq=1525 Ack=55173 Win=63970 Len=0"
"403","4.655853","23.59.68.45","10.0.2.15","TCP","60","443  >  46236 [RST, ACK] Seq=4081394008 Ack=2 Win=0 Len=0"
"405","4.655886","10.0.2.15","213.57.24.219","TCP","54","60202  >  443 [ACK] Seq=1525 Ack=58439 Win=63970 Len=0"
